source_file,ground_truth_label,sample_rate,duration_sec,total_rms_energy,drone_band_energy,drone_band_ratio,spectral_centroid_hz,dominant_freq_hz,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,drone_detected,confidence,classification,error
drone-97999.wav,1,16000,0.5,0.271424,47673.1104,0.868,2192.37,281.25,-7.87,6.16,3.54,0.98,-1.28,true,0.85,unknown_aircraft,
drone-98.wav,1,16000,1.024,0.084263,431.0099,0.1146,3043.09,54.69,-15.34,-0.67,-0.16,2.63,1.24,true,0.6475,unknown_aircraft,
drone-980.wav,1,16000,1.024,0.088568,741.4008,0.1561,2745.65,539.06,-15.63,1.62,2.78,0.97,-0.38,true,0.8119,unknown_aircraft,
drone-9800.wav,1,16000,0.5,0.288102,49055.5835,0.7963,2532.41,296.88,-6.77,3.19,0.91,0.09,-1.83,true,0.85,unknown_aircraft,
drone-98000.wav,1,16000,0.5,0.271962,45227.4379,0.8268,1984.65,265.62,-9.7,7.08,4.51,1.42,-1.59,true,0.85,unknown_aircraft,
drone-98001.wav,1,16000,0.5,0.274304,46609.8323,0.8439,2044.95,265.62,-9.02,7.02,3.84,1.45,-1.29,true,0.85,unknown_aircraft,
drone-98002.wav,1,16000,0.5,0.259219,39242.1556,0.8534,2202.31,265.62,-8.14,6.08,3.38,1.57,-0.92,true,0.85,unknown_aircraft,
drone-98003.wav,1,16000,0.5,0.272368,47169.3957,0.8601,2013.91,265.62,-9.49,7.05,4.24,1.47,-1.52,true,0.85,unknown_aircraft,
drone-98004.wav,1,16000,0.5,0.257423,42496.9858,0.8785,2047.91,265.62,-9.21,6.81,3.6,1.51,-1.31,true,0.85,unknown_aircraft,
drone-98005.wav,1,16000,0.5,0.269129,45324.2034,0.8339,1995.36,265.62,-9.89,7.17,4.24,1.67,-1.59,true,0.85,unknown_aircraft,
drone-98006.wav,1,16000,0.5,0.268103,49028.7578,0.8871,1967.16,273.44,-9.21,7.01,3.73,1.56,-1.65,true,0.85,unknown_aircraft,
drone-98007.wav,1,16000,0.5,0.273549,48741.44,0.8921,2006.63,273.44,-9.27,6.95,4.31,1.66,-1.6,true,0.85,unknown_aircraft,
drone-98008.wav,1,16000,0.5,0.270053,47013.7527,0.8711,2007.56,273.44,-9.11,6.92,3.93,1.14,-1.45,true,0.85,unknown_aircraft,
drone-98009.wav,1,16000,0.5,0.265201,46823.9207,0.8748,2034.54,273.44,-9.44,6.84,4.25,1.17,-1.54,true,0.85,unknown_aircraft,
drone-9801.wav,1,16000,0.5,0.295888,52679.9193,0.8266,2390.4,296.88,-7.99,4.11,3.02,0.54,-2.08,true,0.85,unknown_aircraft,
drone-98010.wav,1,16000,0.5,0.259537,43940.0513,0.8583,2300.07,273.44,-8.37,5.74,4.19,1.56,-1.21,true,0.85,unknown_aircraft,
drone-98011.wav,1,16000,0.5,0.273313,48994.5798,0.8558,2071.45,273.44,-9.61,6.81,4.52,1.45,-1.67,true,0.85,unknown_aircraft,
drone-98012.wav,1,16000,0.5,0.271593,46269.5087,0.8573,2095.11,273.44,-9.7,6.77,4.71,1.28,-1.81,true,0.85,unknown_aircraft,
drone-98013.wav,1,16000,0.5,0.258615,44073.9104,0.873,2026.0,273.44,-9.73,6.98,4.44,1.13,-1.6,true,0.85,unknown_aircraft,
drone-98014.wav,1,16000,0.5,0.254949,42512.2147,0.8742,2102.6,273.44,-9.18,6.44,4.03,1.5,-1.66,true,0.85,unknown_aircraft,
drone-98015.wav,1,16000,0.5,0.26767,46153.934,0.864,2007.78,273.44,-10.04,7.11,4.65,1.22,-1.78,true,0.85,unknown_aircraft,
drone-98016.wav,1,16000,0.5,0.257647,43933.4243,0.8715,2126.45,273.44,-8.36,6.24,3.96,1.71,-1.28,true,0.85,unknown_aircraft,
drone-98017.wav,1,16000,0.5,0.275973,48717.4077,0.8614,1985.34,273.44,-10.04,7.08,4.84,1.49,-1.96,true,0.85,unknown_aircraft,
